Word	uniqueID	WordNet ID	Wordnet ID2	Wordnet ID3	Wordnet ID4	WordNet Synonyms	Definition (from WordNet, Google, or Wikipedia)	Bigram	Percent_known	Rank (combining COCA/concreteness)	Concreteness (M)	COCA word freq (online)	COCA word freq	COCA (dispersion)	COCA (rank)	BNC freq	SUBTLEX freq	Dominant Part of Speech	Bottom-up Category (Human Raters)	Top-down Category (WordNet)	Top-down Category (manual selection)	All Bottom-up Categories	Number of word meanings in list	Example image
aardvark	aardvark	n02082791	aardvark%1:05:00::	aardvark#1	aardvark.n.01	aardvark, ant_bear, anteater, Orycteropus_afer	nocturnal burrowing mammal of the grasslands of Africa that feeds on termites; sole extant representative of the order Tubulidentata	0	1	18158.5	4.68	53	28	0.78	51507		21	Noun	animal	animal	animal	animal	1	https://imgur.com/LAJGlN0
abacus	abacus	n02666196	abacus%1:06:00::	abacus#2	abacus.n.02	abacus	a calculator that performs arithmetic functions by manually sliding counters on rods or in grooves	0	0.93	17741	4.52	188	97	0.86	34578		12	Noun			home decor	mathematical device	1	https://imgur.com/peZeM0l
accordion	accordion	n02672831	accordion%1:06:00::	accordion#1	accordion.n.01	accordion, piano_accordion, squeeze_box	a portable box-shaped free-reed instrument; the reeds are made to vibrate by air from the bellows controlled by the player	0	0.97	8541	4.86	816	735	0.9	15132		67	Noun	musical instrument	musical instrument	musical instrument	musical instrument	1	https://imgur.com/GgGvdZR
acorn	acorn	n12267677	acorn%1:20:00::	acorn#1	acorn.n.01	acorn	fruit of the oak tree: a smooth thin-walled nut in a woody cup-shaped base	0	1	7723.5	4.96	1289	692	0.85	16007	238	37	Noun		fruit		nut	1	https://imgur.com/YfIB5lM
air conditioner	air_conditioner	n02686379	air_conditioner%1:06:00::	air_conditioner#1	air_conditioner.n.01	air_conditioner, air_conditioning	a system that keeps air cool and dry	1	1	12115	4.93	943					0	#N/A			electronic device	home appliance	1	https://imgur.com/KqYNwWH
air mattress	air_mattress	n02690809	air_mattress%1:06:00::	air_mattress#1	air_mattress.n.01	air_mattress	a mattress that can be stored flat and inflated for use	1	1	15398	4.71	127					0	#N/A			furniture	bedding	1	https://imgur.com/HjodlKf
air pump	air_pump	n02692513	air_pump%1:06:00::	air_pump#1	air_pump.n.01	air_pump, vacuum_pump	a pump that moves air in or out of something	1	0.96	15302.5	4.81	82					0	#N/A			tool	bicycle equipment	1	https://imgur.com/AevyIeO
airbag	airbag	n02685365	air_bag%1:06:00::	air_bag#1	air_bag.n.01	air_bag	a safety restraint in an automobile; the bag inflates on collision and prevents the driver or passenger from being thrown forward	0	0.96	10729	4.81	228	439	0.79	20359		20	Noun	part of car	container	part of car	car safety device, part of car, safety device	1	https://imgur.com/9DR76Ri
airboat	airboat					airboat	a shallow-draft boat powered by an aircraft engine, for use in swamps	0	0.93	14495.5	4.82	112	118	0.74	33987		4	Noun			vehicle	watercraft	1	https://imgur.com/LKuZYNu
aircraft carrier	aircraft_carrier	n02687172	aircraft_carrier%1:06:00::	aircraft_carrier#1	aircraft_carrier.n.01	aircraft_carrier, carrier, flattop, attack_aircraft_carrier	a large warship that carries planes and has a long flat deck for takeoffs and landings	1	1	7476.5	4.93	807					0	#N/A		vehicle	vehicle	military vessel	1	https://imgur.com/JA3V67u
airplane	airplane	n02691156	airplane%1:06:00::	airplane#1	airplane.n.01	airplane, aeroplane, plane	an aircraft that has a fixed wing and is powered by propellers or jets	0	1	2266.5	4.96	7390	8254	0.94	3543	79	557	Noun	vehicle	vehicle	vehicle	aircraft, vehicle	1	https://imgur.com/UXiDFSt
album	album	n02695079	album%1:06:00::	album#2	album.n.02	album	a book of blank pages with pockets or envelopes; for organizing photographs or stamp collections etc	0	0.96	4313	4.69	17327	15869	0.92	2229	2167	522	Noun			home decor	book	1	https://imgur.com/iMj0j4d
alligator	alligator	n01698434	alligator%1:05:00::	alligator#2	alligator.n.02	alligator, gator	either of two amphibious reptiles related to crocodiles but with shorter broader snouts	0	1	5309.5	4.96	1354	1620	0.93	9742		178	Noun	animal	animal	animal	reptile, animal	1	https://imgur.com/i2hnT5c
almond	almond	n07750586	almond%1:13:00::	almond#2	almond.n.02	almond	oval-shaped edible seed of the almond tree	0	0.97	6764	4.71	2122	2596	0.89	7638	330	56	Noun		fruit	food	nut, drupe	1	https://imgur.com/fPQ7T9v
aloe	aloe	n12436677	aloe%1:20:00::	aloe#1	aloe.n.01	aloe	succulent plants having rosettes of leaves usually with fiber like hemp and spikes of showy flowers; found chiefly in Africa	0	0.97	11016	4.83	486	377	0.8	21642	27	15	Noun	plant	plant	plant	plant, medicinal plant	1	https://imgur.com/VDqa5rQ
alpaca	alpaca	n02438272	alpaca%1:05:00::	alpaca#3	alpaca.n.03	alpaca, Lama_pacos	domesticated llama with long silky fleece; believed to be a domesticated variety of the guanaco	0	0.87	14327	4.81	164	132	0.63	34586		10	Noun	animal	animal	animal	animal	1	https://imgur.com/oDGo7xm
altar	altar	n02699494	altar%1:06:00::	altar#2	altar.n.02	altar	a raised structure on which gifts or sacrifices to a god are made	0	1	4590	4.85	4580	4021	0.92	5731	895	259	Noun				church furniture	1	https://imgur.com/mzkiCih
aluminum foil	aluminum_foil	n02700767	aluminum_foil%1:06:00::	aluminum_foil#1	aluminum_foil.n.01	aluminum_foil, aluminium_foil, tin_foil	foil made of aluminum	1	1	9469	4.73	838					0	#N/A				food packaging, food storage	1	https://imgur.com/4BPdoNB
amber	amber	n14894880	amber%1:27:00::	amber#2	amber.n.02	amber	a hard yellowish to brownish translucent fossil resin; used for jewelry	0	0.96	14006	4.35	2775	563	0.88	17430	508	473	Noun				fossil	1	https://imgur.com/oCgAbLY
ambulance	ambulance	n02701002	ambulance%1:06:00::	ambulance#1	ambulance.n.01	ambulance	a vehicle that takes people to and from hospitals	0	1	4873.5	4.81	4706	4194	0.93	5563		1143	Noun		container, vehicle	vehicle	emergency vehicle	1	https://imgur.com/Jm1mxVJ
amplifier	amplifier	n02705944	amplifier%1:06:00::	amplifier#1	amplifier.n.01	amplifier	electronic equipment that increases strength of signals passing through it	0	1	9571.5	4.79	575	678	0.86	16158		16	Noun			electronic device	music equipment, sound equipment	1	https://imgur.com/nzdUeH0
anchor	anchor	n02709367	anchor%1:06:00::	anchor#1	anchor.n.01	anchor, ground_tackle	a mechanical device that prevents a vessel from moving	0	1	5044	4.77	10763	4942	0.94	5009	601	378	Noun				boat equipment, part of boat	1	https://imgur.com/YqYBQW0
ankle	ankle	n05578442	ankle%1:08:00::	ankle#1	ankle.n.01	ankle, ankle_joint, mortise_joint, articulatio_talocruralis	a gliding joint between the distal ends of the tibia and fibula and the proximal end of the talus	0	1	3972	4.81	6420	7397	0.93	3844	973	409	Noun	body part	body part	body part	body part	1	https://imgur.com/BbaSFm8
anklet	anklet	n02713097	anklet%1:06:00::	anklet#3	anklet.n.03	anklet, ankle_bracelet	an ornament worn around the ankle	0	1	15402.5	4.75	66	108	0.85	33446	6	21	Noun		decoration		jewelry	1	https://imgur.com/7Dg5biU
ant	ant	n02219486	ant%1:05:00::	ant#1	ant.n.01	ant, emmet, pismire	social insect living in organized colonies; characteristically the males and fertile queen have wings during breeding season; wingless sterile females are the workers	0	1	4435.5	4.86	2181	3981	0.89	5884	443	273	Noun	insect	animal, insect	animal, insect	insect	1	https://imgur.com/oyIbvoo
anteater	anteater	n02461830	anteater%1:05:04::	anteater#1	anteater.n.01	pangolin, scaly_anteater, anteater	toothless mammal of southern Africa and Asia having a body covered with horny scales and a long snout for feeding on ants and termites	0	0.97	14503	4.86	79	94	0.8	35621		11	Noun	animal	animal	animal	animal, mammal	1	https://imgur.com/QU05ej7
antelope	antelope	n02419796	antelope%1:05:00::	antelope#1	antelope.n.01	antelope	graceful Old World ruminant with long legs and horns directed upward and backward; includes gazelles; springboks; impalas; addax; gerenuks; blackbucks; dik-diks	0	1	5811.5	5	1252	1175	0.9	11832		50	Noun	animal	animal	animal	animal	1	https://imgur.com/arzIoKy
antenna	antenna	n02715229	antenna%1:06:00::	antenna#1	antenna.n.01	antenna, aerial, transmitting_aerial	an electrical device that sends or receives radio or television signals	0	1	6332	4.75	1918	2691	0.93	7233		122	Noun				transmission device, receiver, television accessory	1	https://imgur.com/iXFulcR
